Agency Case Number,Report Date,Time of Crime,Occur Begin Day,Occur Begin Date,Occur Begin Time,Occur End Day,Occur End Date,Occur End Time,Crime Class,Incident Type,UCR,Long ID,Crime Attempt,Class Description,Last 30 Days,Neighborhood Association,Neighborhood,X,Y,ZIPCODE
APD*22110399,08/05/2022 12:00:00 AM,2,FRI,08/05/2022 12:00:00 AM,2:00,FRI,08/05/2022 12:00:00 AM,8:30,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22127150,09/04/2022 12:00:00 AM,16,SUN,09/04/2022 12:00:00 AM,16:50,SUN,09/04/2022 12:00:00 AM,16:59,PL,ROBBERY 2ND/AIDED BY ANOTHER,3,1601001CF2,No,,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22110611,08/05/2022 12:00:00 AM,17,FRI,08/05/2022 12:00:00 AM,17:00,FRI,08/05/2022 12:00:00 AM,16:38,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22079247,06/09/2022 12:00:00 AM,16,FRI,04/22/2022 12:00:00 AM,16:00,FRI,04/22/2022 12:00:00 AM,16:15,PL,PETIT LARCENY,6,1552500AM0,No,ALL OTHER LARCENIES,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22092386,07/03/2022 12:00:00 AM,12,SAT,07/02/2022 12:00:00 AM,12:00,SAT,07/02/2022 12:00:00 AM,13:00,PL,ACT IN MANNER INJUR CHILD LESS THAN 16,33,2601001AM0,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22092330,07/03/2022 12:00:00 AM,16,SAT,07/02/2022 12:00:00 AM,16:00,SAT,07/02/2022 12:00:00 AM,16:17,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM MOTOR VEHICLE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22091770,07/02/2022 12:00:00 AM,14,SAT,07/02/2022 12:00:00 AM,14:19,SAT,07/02/2022 12:00:00 AM,14:19,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22093271,07/05/2022 12:00:00 AM,16,FRI,07/01/2022 12:00:00 AM,16:30,TUE,07/05/2022 12:00:00 AM,8:00,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22110600,08/05/2022 12:00:00 AM,16,FRI,08/05/2022 12:00:00 AM,16:00,FRI,08/05/2022 12:00:00 AM,16:09,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22017358,02/06/2022 12:00:00 AM,23,SUN,02/06/2022 12:00:00 AM,23:35,MON,02/07/2022 12:00:00 AM,0:00,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,7,1553500DF3,No,MOTOR VEHICLE THEFT,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22052703,04/20/2022 12:00:00 AM,20,SAT,04/16/2022 12:00:00 AM,20:00,WED,04/20/2022 12:00:00 AM,10:45,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22064588,05/14/2022 12:00:00 AM,19,FRI,05/13/2022 12:00:00 AM,19:45,FRI,05/13/2022 12:00:00 AM,19:56,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*21161030,11/27/2021 12:00:00 AM,2,THU,11/04/2021 12:00:00 AM,2:30,THU,11/04/2021 12:00:00 AM,2:40,PL,PETIT LARCENY,6,1552500AM0,,,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22127028,09/04/2022 12:00:00 AM,10,SUN,09/04/2022 12:00:00 AM,10:30,SUN,09/04/2022 12:00:00 AM,10:37,PL,Equip To Prevnt Request For Emrgncy Assist,33,1450004AM4,No,UNKNOWN,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22107751,07/31/2022 12:00:00 AM,23,SAT,07/30/2022 12:00:00 AM,23:00,SUN,07/31/2022 12:00:00 AM,16:00,PL,CRIM MIS RCKLS PROP DAM GREATER THAN $250,19,1450003AM4,No,,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22068061,05/20/2022 12:00:00 AM,0,FRI,05/20/2022 12:00:00 AM,0:00,FRI,05/20/2022 12:00:00 AM,1:00,PL,BURGLARY 3RD,5,1402000DF3,No,,FALSE,No. Albany / Shaker Park,POINT,-73.7452875,42.67282699,12204
APD*21174775,12/26/2021 12:00:00 AM,12,SUN,12/26/2021 12:00:00 AM,12:50,SUN,12/26/2021 12:00:00 AM,12:50,PL,GR LAR 4 PROPERTY FROM PERSON,6,1553005EF4,No,ALL OTHER LARCENIES,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22068273,05/20/2022 12:00:00 AM,0,SAT,01/01/2022 12:00:00 AM,0:00,FRI,05/20/2022 12:00:00 AM,14:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22068487,05/20/2022 12:00:00 AM,23,FRI,05/20/2022 12:00:00 AM,23:11,FRI,05/20/2022 12:00:00 AM,23:11,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22126968,09/04/2022 12:00:00 AM,6,SUN,09/04/2022 12:00:00 AM,6:30,SUN,09/04/2022 12:00:00 AM,6:30,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Center Square,POINT,-73.76329474,42.65410976,12210
APD*21174804,12/26/2021 12:00:00 AM,14,SUN,12/26/2021 12:00:00 AM,14:00,SUN,12/26/2021 12:00:00 AM,14:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22068093,05/20/2022 12:00:00 AM,21,THU,05/19/2022 12:00:00 AM,21:00,FRI,05/20/2022 12:00:00 AM,7:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM MOTOR VEHICLE,FALSE,Melrose,POINT,-73.79907962,42.67270063,12203
APD*22084634,06/19/2022 12:00:00 AM,14,SUN,06/19/2022 12:00:00 AM,14:30,SUN,06/19/2022 12:00:00 AM,14:30,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,Mansion,POINT,-73.7586478,42.64515202,12202
APD*22086953,06/23/2022 12:00:00 AM,22,THU,06/23/2022 12:00:00 AM,22:40,THU,06/23/2022 12:00:00 AM,22:45,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22030336,03/05/2022 12:00:00 AM,2,SAT,03/05/2022 12:00:00 AM,2:00,SAT,03/05/2022 12:00:00 AM,2:30,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,6,1553001EF4,No,ALL OTHER LARCENIES,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22079586,06/09/2022 12:00:00 AM,22,THU,06/09/2022 12:00:00 AM,22:06,THU,06/09/2022 12:00:00 AM,22:06,PL,CRIM POSS NARCO DRUG,10,2200901CF4,No,,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22092770,07/04/2022 12:00:00 AM,12,MON,07/04/2022 12:00:00 AM,12:13,MON,07/04/2022 12:00:00 AM,12:14,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22093380,07/05/2022 12:00:00 AM,11,TUE,07/05/2022 12:00:00 AM,11:20,TUE,07/05/2022 12:00:00 AM,11:23,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22032158,03/08/2022 12:00:00 AM,20,TUE,03/08/2022 12:00:00 AM,20:12,TUE,03/08/2022 12:00:00 AM,20:12,PL,CRIMINAL TRESPASS 2ND,33,1401501AM2,No,PART 2 OFFENSE,FALSE,Melrose,POINT,-73.79907962,42.67270063,12203
APD*22031802,03/08/2022 12:00:00 AM,21,SUN,03/06/2022 12:00:00 AM,21:44,SUN,03/06/2022 12:00:00 AM,21:50,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22086674,06/23/2022 12:00:00 AM,8,THU,06/23/2022 12:00:00 AM,8:00,THU,06/23/2022 12:00:00 AM,8:05,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22079381,06/09/2022 12:00:00 AM,15,THU,06/09/2022 12:00:00 AM,15:05,THU,06/09/2022 12:00:00 AM,15:05,PL,DISOBEY MANDATE EXC  JL 753A-2,33,2155003AM2,No,PERSON DOM VIOLENCE,FALSE,Melrose,POINT,-73.79907962,42.67270063,12203
APD*22086064,06/22/2022 12:00:00 AM,11,WED,06/22/2022 12:00:00 AM,11:28,WED,06/22/2022 12:00:00 AM,11:39,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Washington Park,POINT,-73.77088465,42.65723655,12202
APD*22086590,06/23/2022 12:00:00 AM,22,WED,06/22/2022 12:00:00 AM,22:30,THU,06/23/2022 12:00:00 AM,9:45,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22079209,06/09/2022 12:00:00 AM,9,THU,06/09/2022 12:00:00 AM,9:55,THU,06/09/2022 12:00:00 AM,9:55,PL,CRIM CONTEMPT-1ST-PHY CONTACT,24,21551B5EF1,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22084730,06/19/2022 12:00:00 AM,7,FRI,06/17/2022 12:00:00 AM,7:30,FRI,06/17/2022 12:00:00 AM,17:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22031772,03/08/2022 12:00:00 AM,7,TUE,03/08/2022 12:00:00 AM,7:28,TUE,03/08/2022 12:00:00 AM,7:28,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22083463,06/17/2022 12:00:00 AM,0,FRI,06/17/2022 12:00:00 AM,0:01,FRI,06/17/2022 12:00:00 AM,0:05,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*21168535,12/12/2021 12:00:00 AM,23,SUN,12/12/2021 12:00:00 AM,23:00,SUN,12/12/2021 12:00:00 AM,23:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22083204,06/16/2022 12:00:00 AM,14,THU,06/16/2022 12:00:00 AM,14:10,THU,06/16/2022 12:00:00 AM,14:18,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22086068,06/22/2022 12:00:00 AM,0,WED,06/22/2022 12:00:00 AM,0:00,WED,06/22/2022 12:00:00 AM,10:00,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22031345,03/07/2022 12:00:00 AM,11,MON,03/07/2022 12:00:00 AM,11:13,MON,03/07/2022 12:00:00 AM,11:13,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22032612,03/09/2022 12:00:00 AM,15,FRI,02/25/2022 12:00:00 AM,15:00,WED,03/09/2022 12:00:00 AM,22:45,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22092264,07/03/2022 12:00:00 AM,13,SUN,07/03/2022 12:00:00 AM,13:01,SUN,07/03/2022 12:00:00 AM,13:01,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*22094609,07/07/2022 12:00:00 AM,16,THU,07/07/2022 12:00:00 AM,16:05,THU,07/07/2022 12:00:00 AM,16:08,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22061276,05/07/2022 12:00:00 AM,17,SAT,05/07/2022 12:00:00 AM,17:25,SAT,05/07/2022 12:00:00 AM,17:30,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22061314,05/07/2022 12:00:00 AM,21,TUE,04/05/2022 12:00:00 AM,21:00,SAT,05/07/2022 12:00:00 AM,19:00,PL,BURGLARY 3RD,5,1402000DF3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22086510,06/23/2022 12:00:00 AM,1,THU,06/23/2022 12:00:00 AM,1:00,THU,06/23/2022 12:00:00 AM,6:30,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM MOTOR VEHICLE,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22093564,07/05/2022 12:00:00 AM,21,MON,07/04/2022 12:00:00 AM,21:30,MON,07/04/2022 12:00:00 AM,22:30,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22030076,03/04/2022 12:00:00 AM,15,FRI,03/04/2022 12:00:00 AM,15:56,FRI,03/04/2022 12:00:00 AM,15:56,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON DOM VIOLENCE,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22110347,08/05/2022 12:00:00 AM,8,FRI,08/05/2022 12:00:00 AM,8:50,FRI,08/05/2022 12:00:00 AM,8:55,PL,HARASSMENT 2ND-PHY CONTACT,33,24026000V2,No,PERSON,FALSE,Center Square,POINT,-73.76329474,42.65410976,12210
APD*22079507,06/09/2022 12:00:00 AM,19,THU,06/09/2022 12:00:00 AM,19:18,THU,06/09/2022 12:00:00 AM,19:18,PL,SX ABUSE  SEX CONTCT W/IND LESS THAN 11,13,1306503DF1,No,PERSON,FALSE,Helderberg,POINT,-73.79429112,42.65140586,12208
APD*21161288,11/27/2021 12:00:00 AM,17,SAT,11/27/2021 12:00:00 AM,17:37,SAT,11/27/2021 12:00:00 AM,17:38,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22090263,06/29/2022 12:00:00 AM,22,WED,06/29/2022 12:00:00 AM,22:40,WED,06/29/2022 12:00:00 AM,22:40,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*21161267,11/27/2021 12:00:00 AM,12,FRI,11/26/2021 12:00:00 AM,12:48,FRI,11/26/2021 12:00:00 AM,12:58,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,West End,POINT,-73.77810409,42.67496958,12206
APD*22110736,08/05/2022 12:00:00 AM,21,THU,08/04/2022 12:00:00 AM,21:00,THU,08/04/2022 12:00:00 AM,22:00,PL,HARRASSMENT 2ND-FOLLOW PERSON,33,24026020V2,No,,FALSE,The Dunes,POINT,-73.86321786,42.7057702,12203
APD*22017302,02/06/2022 12:00:00 AM,19,SUN,02/06/2022 12:00:00 AM,19:39,SUN,02/06/2022 12:00:00 AM,19:41,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22031962,03/08/2022 12:00:00 AM,13,TUE,03/08/2022 12:00:00 AM,13:07,TUE,03/08/2022 12:00:00 AM,13:07,PL,CRIMINAL OBSTRUCTION OF BREATHING OR BLOOD CIRCULATION,24,1211100AM0,No,UNKNOWN,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22110267,08/05/2022 12:00:00 AM,5,FRI,08/05/2022 12:00:00 AM,5:00,FRI,08/05/2022 12:00:00 AM,5:05,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22086549,06/23/2022 12:00:00 AM,15,WED,06/22/2022 12:00:00 AM,15:00,THU,06/23/2022 12:00:00 AM,6:45,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Washington Park,POINT,-73.77088465,42.65723655,12202
APD*22010618,01/23/2022 12:00:00 AM,19,SAT,01/22/2022 12:00:00 AM,19:00,SAT,01/22/2022 12:00:00 AM,19:00,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22110369,08/05/2022 12:00:00 AM,0,MON,05/09/2022 12:00:00 AM,0:00,SAT,07/09/2022 12:00:00 AM,23:59,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM BUILDING,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22127220,09/04/2022 12:00:00 AM,19,SUN,09/04/2022 12:00:00 AM,19:54,SUN,09/04/2022 12:00:00 AM,19:54,PL,MENACING-2ND - WEAPON,4,1201401AM2,No,DOMESTIC VIOLENCE RELATED,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22079596,06/09/2022 12:00:00 AM,21,THU,06/09/2022 12:00:00 AM,21:00,THU,06/09/2022 12:00:00 AM,21:00,PL,ROBBERY 2ND/AIDED BY ANOTHER,3,1601001CF2,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22031082,03/06/2022 12:00:00 AM,18,SUN,03/06/2022 12:00:00 AM,18:50,SUN,03/06/2022 12:00:00 AM,19:30,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,6,1553001EF4,No,THEFT FROM BUILDING,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22110557,08/05/2022 12:00:00 AM,14,FRI,08/05/2022 12:00:00 AM,14:13,FRI,08/05/2022 12:00:00 AM,14:19,PL,GRAND LARCENY 4  CREDIT CARD,6,1553004EF4,No,THEFT FROM BUILDING,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22093423,07/05/2022 12:00:00 AM,8,TUE,06/28/2022 12:00:00 AM,8:00,SAT,07/02/2022 12:00:00 AM,8:00,PL,AUTO STRIPPING-3RD,6,1650901AM3,No,THEFT OF MOTOR VEH PARTS ACCESSORIES,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22030670,03/05/2022 12:00:00 AM,19,SAT,03/05/2022 12:00:00 AM,19:05,SAT,03/05/2022 12:00:00 AM,19:15,PL,ROBBERY 2ND/AIDED BY ANOTHER,3,1601001CF2,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22030003,03/04/2022 12:00:00 AM,13,FRI,03/04/2022 12:00:00 AM,13:43,FRI,03/04/2022 12:00:00 AM,14:09,PL,TRESPASS,33,14005000V0,No,PART 2 OFFENSE,FALSE,Upper Washington Avenue,POINT,-73.79858973,42.68173914,12206
APD*22079337,06/09/2022 12:00:00 AM,18,MON,04/25/2022 12:00:00 AM,18:57,MON,04/25/2022 12:00:00 AM,18:59,PL,GRAND LARCENY 3 VALUE GREATER THAN $3000,6,1553500DF3,No,THEFT FROM BUILDING,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22031206,03/07/2022 12:00:00 AM,5,MON,03/07/2022 12:00:00 AM,5:07,MON,03/07/2022 12:00:00 AM,5:10,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22079176,06/09/2022 12:00:00 AM,8,THU,06/09/2022 12:00:00 AM,8:55,THU,06/09/2022 12:00:00 AM,8:55,PL,FALSE FIRE/EMERGENCY ALARM 3RD,33,2405001AM3,No,PART 2 OFFENSE,FALSE,Beverwyck,POINT,-73.78222713,42.67006294,12206
APD*22127144,09/04/2022 12:00:00 AM,16,SUN,09/04/2022 12:00:00 AM,16:30,SUN,09/04/2022 12:00:00 AM,16:36,PL,PUBLIC LEWDNESS,13,2450000BM0,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22079513,06/09/2022 12:00:00 AM,19,THU,06/09/2022 12:00:00 AM,19:25,THU,06/09/2022 12:00:00 AM,19:35,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*21161035,11/27/2021 12:00:00 AM,12,WED,11/17/2021 12:00:00 AM,12:40,WED,11/17/2021 12:00:00 AM,13:05,PL,PETIT LARCENY,6,1552500AM0,No,SHOPLIFTING,FALSE,Delaware Area,POINT,-73.78088741,42.63990609,12209
APD*21174933,12/26/2021 12:00:00 AM,22,SUN,12/26/2021 12:00:00 AM,22:25,SUN,12/26/2021 12:00:00 AM,22:25,PL,CRIMINAL MISCHIEF - 4,19,1450000AM4,No,,FALSE,Ten Broeck Triangle Preservation League,POINT,-73.75119995,42.65693726,12210
APD*22065031,05/14/2022 12:00:00 AM,4,SAT,05/14/2022 12:00:00 AM,4:00,SAT,05/14/2022 12:00:00 AM,11:00,PL,GRAND LARCENY  AUTO OVER $100,7,1553008EF4,No,MOTOR VEHICLE THEFT,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22031999,03/08/2022 12:00:00 AM,14,TUE,03/08/2022 12:00:00 AM,14:15,TUE,03/08/2022 12:00:00 AM,14:27,PL,BURG:W/CRI INT - DWELLING,5,1402502CF2,No,,FALSE,Park South,POINT,-73.77321917,42.65419738,12208
APD*22127059,09/04/2022 12:00:00 AM,9,SUN,09/04/2022 12:00:00 AM,9:00,SUN,09/04/2022 12:00:00 AM,11:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Helderberg,POINT,-73.79429112,42.65140586,12208
APD*22031186,03/07/2022 12:00:00 AM,2,MON,03/07/2022 12:00:00 AM,2:42,MON,03/07/2022 12:00:00 AM,2:42,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,7,1553001EF4,No,MOTOR VEHICLE THEFT,FALSE,Pine Hills,POINT,-73.78661269,42.66269594,12208
APD*22065018,05/14/2022 12:00:00 AM,17,FRI,05/13/2022 12:00:00 AM,17:00,FRI,05/13/2022 12:00:00 AM,17:00,PL,CRIMINAL POSSESSION OF A WEAPON-2ND DEGREE: LOADED FIREARM,11,265031BCF2,No,PERSON,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22065281,05/14/2022 12:00:00 AM,23,SAT,05/14/2022 12:00:00 AM,23:00,SAT,05/14/2022 12:00:00 AM,23:05,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,South End,POINT,-73.75926175,42.63927479,12202
APD*22068132,05/20/2022 12:00:00 AM,0,MON,05/09/2022 12:00:00 AM,0:00,TUE,05/17/2022 12:00:00 AM,15:40,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
APD*22067983,05/20/2022 12:00:00 AM,1,FRI,05/20/2022 12:00:00 AM,1:51,FRI,05/20/2022 12:00:00 AM,1:55,PL,BURGLARY 3RD,5,1402000DF3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22079162,06/09/2022 12:00:00 AM,8,FRI,04/01/2022 12:00:00 AM,8:00,FRI,04/01/2022 12:00:00 AM,23:00,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22092187,07/03/2022 12:00:00 AM,15,SAT,07/02/2022 12:00:00 AM,15:45,SUN,07/03/2022 12:00:00 AM,5:30,PL,GR LAR 4-VALUE PROPERTY GREATER THAN $1000,7,1553001EF4,No,MOTOR VEHICLE THEFT,FALSE,New Scotland / Woodlawn,POINT,-73.79535522,42.65720944,12208
APD*22079289,06/09/2022 12:00:00 AM,15,WED,06/08/2022 12:00:00 AM,15:45,THU,06/09/2022 12:00:00 AM,11:00,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,Second Avenue,POINT,-73.77099991,42.63822987,12202
APD*22107723,07/31/2022 12:00:00 AM,16,SUN,07/31/2022 12:00:00 AM,16:28,SUN,07/31/2022 12:00:00 AM,16:28,PL,CRIM POSS WEAP W/INT TO USE,11,2650102AM4,No,,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22068596,05/21/2022 12:00:00 AM,4,SAT,05/21/2022 12:00:00 AM,4:50,SAT,05/21/2022 12:00:00 AM,4:59,PL,CRIM MIS INTENT DAMAGE PROPRTY,19,1450001AM4,No,,FALSE,Hudson Park,POINT,-73.76602553,42.65100307,12210
APD*22087144,06/24/2022 12:00:00 AM,17,WED,06/01/2022 12:00:00 AM,17:00,THU,06/23/2022 12:00:00 AM,9:27,PL,PETIT LARCENY,6,1552500AM0,No,THEFT FROM BUILDING,FALSE,Downtown,POINT,-73.75323798,42.64956228,12210
APD*22107482,07/31/2022 12:00:00 AM,0,SUN,07/31/2022 12:00:00 AM,0:10,SUN,07/31/2022 12:00:00 AM,1:29,PL,ASLT W/INT CAUSES PHYS INJURY,24,1200001AM3,No,PERSON DOM VIOLENCE,FALSE,Sheridan Hollow,POINT,-73.75740728,42.65668958,12210
APD*22122674,08/27/2022 12:00:00 AM,13,SAT,08/27/2022 12:00:00 AM,13:30,SAT,08/27/2022 12:00:00 AM,13:35,PL,CRIMINAL MISCHIEF 3RD:DAMAGE ANOTHER'S PROPERTY-AMOUNT> $250,19,1450502EF3,No,,FALSE,West Hill,POINT,-73.76484425,42.66669119,12206
APD*22094392,07/07/2022 12:00:00 AM,10,THU,07/07/2022 12:00:00 AM,10:00,THU,07/07/2022 12:00:00 AM,10:00,PL,HARRASSMENT 2ND- PHY CONTACT,24,24026010V2,No,PERSON,FALSE,Arbor Hill Concerned Citizens,POINT,-73.75322583,42.66222004,12207
